English words/sentences,French words/sentences
Hi.,Salut!
Run!,CoursÉ??!
Run!,CourezÉ??!
Who?,Qui ?
Wow!,??a alorsÉ??!
Fire!,Au feu !
Help!,?? l'aideÉ??!
Jump.,Saute.
Stop!,??a suffitÉ??!
Stop!,StopÉ??!
Stop!,Arr?¶te-toi !
Wait!,Attends !
Wait!,Attendez !
Go on.,Poursuis.
Go on.,Continuez.
Go on.,Poursuivez.
Hello!,Bonjour !
Hello!,Salut !
I see.,Je comprends.
I try.,J'essaye.
I won!,J'ai gagn?? !
I won!,Je l'ai emport?? !
I won.,JÉ??ai gagn??.
Oh no!,Oh non !
Attack!,Attaque !
Attack!,Attaquez !
Cheers!,Sant?? !
Cheers!,?? votre sant?? !
Cheers!,Merci !
Cheers!,Tchin-tchin !
Get up.,L??ve-toi.
Go now.,"Va, maintenant."
Go now.,Allez-y maintenant.
Go now.,Vas-y maintenant.
Got it!,J'ai pig?? !
Got it!,Compris !
Got it?,Pig??É???
Got it?,ComprisÉ???
Got it?,T'as capt??É???
Hop in.,Monte.
Hop in.,Montez.
Hug me.,Serre-moi dans tes bras !
Hug me.,Serrez-moi dans vos bras !
I fell.,Je suis tomb??e.
I fell.,Je suis tomb??.
I know.,Je sais.
I left.,Je suis parti.
I left.,Je suis partie.
I lied.,J'ai menti.
I lost.,J'ai perdu.
I paid.,JÉ??ai pay??.
I'm 19.,J'ai 19 ans.
I'm OK.,Je vais bien.
I'm OK.,??a va.
Listen.,??coutez !
No way!,C'est pas possibleÉ??!
No way!,ImpossibleÉ??!
No way!,En aucun cas.
No way!,Sans fa??onsÉ??!
No way!,C'est hors de question !
No way!,Il n'en est pas question !
No way!,C'est exclu !
No way!,En aucune mani??re !
No way!,Hors de question !
Really?,VraimentÉ???
Really?,Vrai ?
Really?,Ah bon ?
Thanks.,Merci !
We try.,On essaye.
We won.,Nous avons gagn??.
We won.,Nous gagn?õmes.
We won.,Nous l'avons emport??.
We won.,Nous l'emport?õmes.
Ask Tom.,Demande ?ˇ Tom.
Awesome!,FantastiqueÉ??!
Be calm.,Sois calme !
Be calm.,Soyez calme !
Be calm.,Soyez calmes !
Be cool.,Sois d??tendu !
Be fair.,Sois juste !
Be fair.,Soyez juste !
Be fair.,Soyez justes !
Be fair.,Sois ??quitable !
Be fair.,Soyez ??quitable !
Be fair.,Soyez ??quitables !
Be kind.,Sois gentil.
Be nice.,Sois gentil !
Be nice.,Sois gentille !
Be nice.,Soyez gentil !
Be nice.,Soyez gentille !
Be nice.,Soyez gentils !
Be nice.,Soyez gentilles !
Beat it.,D??gageÉ??!
Call me.,Appelle-moi !
Call me.,Appellez-moi !
Call us.,Appelle-nous !
Call us.,Appelez-nous !
Come in.,EntrezÉ??!
Come in.,Entre.
Come in.,Entre !
Come in.,Entrez !
Come on!,AllezÉ??!
Come on.,Allez !
